School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,149,,149
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,N,278,,278
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,Y,346,,346
2023-2024,130,Waynesboro City,620,Wayne Hills Center,N,77,,77
2023-2024,130,Waynesboro City,620,Wayne Hills Center,Y,118,,118
2023-2024,130,Waynesboro City,600,Waynesboro High ,N,462,,462
2023-2024,130,Waynesboro City,600,Waynesboro High ,Y,455,,455
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,N,49,,49
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,Y,165,,165
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,N,186,,186
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,Y,195,,195
2023-2024,130,Waynesboro City,751,William Perry Elementary ,N,151,,151
2023-2024,130,Waynesboro City,751,William Perry Elementary ,Y,321,,321
