School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,FT Count,PT Count,Total Count
2025-2026,68,Orange County,70,Lightfoot Elementary,Y,81,,81
2025-2026,68,Orange County,50,Locust Grove Elementary,N,351,,351
2025-2026,68,Orange County,50,Locust Grove Elementary,Y,216,,216
2025-2026,68,Orange County,471,Locust Grove Middle,N,439,,439
2025-2026,68,Orange County,471,Locust Grove Middle,Y,225,,225
2025-2026,68,Orange County,51,Locust Grove Primary,N,307,,307
2025-2026,68,Orange County,51,Locust Grove Primary,Y,127,,127
2025-2026,68,Orange County,330,Orange County High ,N,947,,947
2025-2026,68,Orange County,330,Orange County High ,Y,519,,519
2025-2026,68,Orange County,370,Orange Elementary,N,280,,280
2025-2026,68,Orange County,370,Orange Elementary,Y,327,,327
2025-2026,68,Orange County,340,Prospect Heights Middle,N,252,,252
2025-2026,68,Orange County,340,Prospect Heights Middle,Y,211,,211
2025-2026,68,Orange County,350,Unionville Elementary,N,152,,152
2025-2026,68,Orange County,350,Unionville Elementary,Y,92,,92
2025-2026,126,Staunton City,40,Arthur R. Ware Elementary,N,159,,159
2025-2026,126,Staunton City,40,Arthur R. Ware Elementary,Y,191,,191
2025-2026,126,Staunton City,70,Bessie Weller Elementary,N,142,,142
2025-2026,126,Staunton City,70,Bessie Weller Elementary,Y,266,,266
2025-2026,126,Staunton City,110,Shelburne Middle,N,272,,272
2025-2026,126,Staunton City,110,Shelburne Middle,Y,308,,308
2025-2026,126,Staunton City,41,Staunton City School PreSchool Programs,N,58,,58
2025-2026,126,Staunton City,41,Staunton City School PreSchool Programs,Y,91,,91
2025-2026,126,Staunton City,30,Staunton High,N,415,,415
2025-2026,126,Staunton City,30,Staunton High,Y,397,,397
2025-2026,126,Staunton City,90,Thomas C. McSwain Elementary,N,226,,226
2025-2026,126,Staunton City,90,Thomas C. McSwain Elementary,Y,224,,224
2025-2026,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,131,,131
2025-2026,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,134,,134
2025-2026,130,Waynesboro City,640,Kate Collins Middle ,N,304,,304
2025-2026,130,Waynesboro City,640,Kate Collins Middle ,Y,310,,310
2025-2026,130,Waynesboro City,620,Wayne Hills Center,N,102,,102
2025-2026,130,Waynesboro City,620,Wayne Hills Center,Y,84,,84
2025-2026,130,Waynesboro City,600,Waynesboro High ,N,503,,503
2025-2026,130,Waynesboro City,600,Waynesboro High ,Y,396,,396
2025-2026,130,Waynesboro City,580,Wenonah Elementary ,N,79,,79
2025-2026,130,Waynesboro City,580,Wenonah Elementary ,Y,156,,156
2025-2026,130,Waynesboro City,630,Westwood Hills Elementary ,N,234,,234
2025-2026,130,Waynesboro City,630,Westwood Hills Elementary ,Y,166,,166
2025-2026,130,Waynesboro City,751,William Perry Elementary ,N,176,,176
2025-2026,130,Waynesboro City,751,William Perry Elementary ,Y,238,,238
