School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,62,Nelson County,10,Rockfish River Elementary,Y,14,,14
2019-2020,62,Nelson County,20,Tye River Elementary,N,388,,388
2019-2020,62,Nelson County,20,Tye River Elementary,Y,<,,<
2019-2020,68,Orange County,360,Gordon-Barbour Elementary,N,346,,346
2019-2020,68,Orange County,360,Gordon-Barbour Elementary,Y,19,,19
2019-2020,68,Orange County,70,Lightfoot Elementary,N,222,,222
2019-2020,68,Orange County,70,Lightfoot Elementary,Y,19,,19
2019-2020,68,Orange County,50,Locust Grove Elementary,N,407,,407
2019-2020,68,Orange County,50,Locust Grove Elementary,Y,15,,15
2019-2020,68,Orange County,471,Locust Grove Middle,N,589,,589
2019-2020,68,Orange County,471,Locust Grove Middle,Y,15,,15
2019-2020,68,Orange County,51,Locust Grove Primary School,N,461,,461
2019-2020,68,Orange County,51,Locust Grove Primary School,Y,17,,17
2019-2020,68,Orange County,330,Orange County High ,N,"1,456",<,"1,458"
2019-2020,68,Orange County,330,Orange County High ,Y,33,,33
2019-2020,68,Orange County,370,Orange Elementary,N,624,,624
2019-2020,68,Orange County,370,Orange Elementary,Y,42,,42
2019-2020,68,Orange County,340,Prospect Heights Middle,N,496,<,497
2019-2020,68,Orange County,340,Prospect Heights Middle,Y,18,,18
2019-2020,68,Orange County,350,Unionville Elementary,N,228,,228
2019-2020,68,Orange County,350,Unionville Elementary,Y,16,,16
2019-2020,126,Staunton City,40,Arthur R. Ware Elementary,N,420,,420
2019-2020,126,Staunton City,40,Arthur R. Ware Elementary,Y,<,,<
2019-2020,126,Staunton City,70,Bessie Weller Elementary,N,351,,351
2019-2020,126,Staunton City,70,Bessie Weller Elementary,Y,19,,19
2019-2020,126,Staunton City,110,Shelburne Middle,N,618,,618
2019-2020,126,Staunton City,110,Shelburne Middle,Y,12,,12
2019-2020,126,Staunton City,41,Staunton City School PreSchool Programs,N,90,,90
2019-2020,126,Staunton City,30,Staunton High,N,772,<,773
2019-2020,126,Staunton City,30,Staunton High,Y,15,,15
2019-2020,126,Staunton City,90,Thomas C. McSwain Elementary,N,415,,415
2019-2020,126,Staunton City,90,Thomas C. McSwain Elementary,Y,<,,<
2019-2020,130,Waynesboro City,650,Berkeley Glenn Elementary,N,254,,254
2019-2020,130,Waynesboro City,650,Berkeley Glenn Elementary,Y,<,,<
2019-2020,130,Waynesboro City,640,Kate Collins Middle,N,632,,632
2019-2020,130,Waynesboro City,640,Kate Collins Middle,Y,32,,32
2019-2020,130,Waynesboro City,620,Wayne Hills Center,N,82,,82
2019-2020,130,Waynesboro City,600,Waynesboro High,N,806,,806
2019-2020,130,Waynesboro City,600,Waynesboro High,Y,27,,27
2019-2020,130,Waynesboro City,580,Wenonah Elementary,N,207,,207
2019-2020,130,Waynesboro City,580,Wenonah Elementary,Y,40,,40
2019-2020,130,Waynesboro City,630,Westwood Hills Elementary,N,391,,391
2019-2020,130,Waynesboro City,630,Westwood Hills Elementary,Y,18,,18
2019-2020,130,Waynesboro City,751,William Perry Elementary,N,372,,372
2019-2020,130,Waynesboro City,751,William Perry Elementary,Y,22,,22
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,N,335,,335
2020-2021,2,Albemarle County,160,Agnor-Hurt Elementary,Y,92,,92
2020-2021,2,Albemarle County,880,Albemarle High,N,"1,691",<,"1,697"
2020-2021,2,Albemarle County,880,Albemarle High,Y,150,,150
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,N,560,,560
2020-2021,2,Albemarle County,1053,Baker-Butler Elem,Y,64,,64
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,N,249,,249
2020-2021,2,Albemarle County,100,Broadus Wood Elementary,Y,<,,<
2020-2021,2,Albemarle County,941,Brownsville Elementary,N,721,,721
2020-2021,2,Albemarle County,941,Brownsville Elementary,Y,<,,<
2020-2021,2,Albemarle County,340,Crozet Elementary,N,317,,317
2020-2021,2,Albemarle County,340,Crozet Elementary,Y,<,,<
2020-2021,2,Albemarle County,10,Hollymead Elementary,N,315,,315
2020-2021,2,Albemarle County,10,Hollymead Elementary,Y,26,,26
2020-2021,2,Albemarle County,950,Jack Jouett Middle,N,508,,508
2020-2021,2,Albemarle County,950,Jack Jouett Middle,Y,101,,101
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,N,503,<,505
2020-2021,2,Albemarle County,69,Jackson P. Burley Middle,Y,32,,32
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,N,861,<,868
2020-2021,2,Albemarle County,942,Joseph T. Henley Middle,Y,<,,<
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,N,332,<,334
2020-2021,2,Albemarle County,20,Leslie H. Walton Middle,Y,<,,<
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,N,307,,307
2020-2021,2,Albemarle County,40,Mary Carr Greer Elementary,Y,154,,154
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,N,319,,319
2020-2021,2,Albemarle County,250,Meriwether Lewis Elementary,Y,<,,<
2020-2021,2,Albemarle County,1052,Monticello High,N,"1,111",10,"1,121"
2020-2021,2,Albemarle County,1052,Monticello High,Y,59,,59
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,N,539,<,544
2020-2021,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Y,12,,12
2020-2021,2,Albemarle County,150,Mountain View Elementary,N,558,,558
