School Year,Division Number,Division Name,School Number,School Name,English Learners include Former ELs,FT Count,PT Count,Total Count
2024-2025,32,Fluvanna County,320,Fluvanna Middle,Y,31,,31
2024-2025,39,Greene County,20,Nathanael Greene Elementary,N,305,,305
2024-2025,39,Greene County,20,Nathanael Greene Elementary,Y,21,,21
2024-2025,39,Greene County,10,Nathanael Greene Primary,N,355,,355
2024-2025,39,Greene County,10,Nathanael Greene Primary,Y,12,,12
2024-2025,39,Greene County,30,Ruckersville Elementary,N,469,,469
2024-2025,39,Greene County,30,Ruckersville Elementary,Y,71,,71
2024-2025,39,Greene County,72,William Monroe High,N,889,<,890
2024-2025,39,Greene County,72,William Monroe High,Y,63,,63
2024-2025,39,Greene County,71,William Monroe Middle,N,537,,537
2024-2025,39,Greene County,71,William Monroe Middle,Y,59,,59
2024-2025,54,Louisa County,660,Jouett Elementary,N,629,,629
2024-2025,54,Louisa County,660,Jouett Elementary,Y,18,,18
2024-2025,54,Louisa County,602,Louisa County High,N,"1,553",,"1,553"
2024-2025,54,Louisa County,602,Louisa County High,Y,48,,48
2024-2025,54,Louisa County,601,Louisa County Middle,N,"1,166",,"1,166"
2024-2025,54,Louisa County,601,Louisa County Middle,Y,65,,65
2024-2025,54,Louisa County,80,Moss-Nuckols Elementary,N,601,,601
2024-2025,54,Louisa County,80,Moss-Nuckols Elementary,Y,36,,36
2024-2025,54,Louisa County,610,Thomas Jefferson Elementary,N,622,,622
2024-2025,54,Louisa County,610,Thomas Jefferson Elementary,Y,50,,50
2024-2025,54,Louisa County,641,Trevilians Elementary,N,528,,528
2024-2025,54,Louisa County,641,Trevilians Elementary,Y,18,,18
2024-2025,56,Madison County,221,Madison County High,N,520,,520
2024-2025,56,Madison County,221,Madison County High,Y,10,,10
2024-2025,56,Madison County,230,Madison Primary,N,355,<,356
2024-2025,56,Madison County,230,Madison Primary,Y,10,,10
2024-2025,56,Madison County,200,Waverly Yowell Elementary,N,320,,320
2024-2025,56,Madison County,200,Waverly Yowell Elementary,Y,14,,14
2024-2025,56,Madison County,222,William H. Wetsel Middle,N,338,,338
2024-2025,56,Madison County,222,William H. Wetsel Middle,Y,18,,18
2024-2025,62,Nelson County,710,Nelson County High,N,468,,468
2024-2025,62,Nelson County,710,Nelson County High,Y,18,,18
2024-2025,62,Nelson County,730,Nelson Middle,N,304,<,305
2024-2025,62,Nelson County,730,Nelson Middle,Y,24,,24
2024-2025,62,Nelson County,10,Rockfish River Elementary,N,288,,288
2024-2025,62,Nelson County,10,Rockfish River Elementary,Y,30,,30
2024-2025,62,Nelson County,20,Tye River Elementary,N,335,,335
2024-2025,62,Nelson County,20,Tye River Elementary,Y,25,,25
2024-2025,68,Orange County,360,Gordon-Barbour Elementary,N,301,,301
2024-2025,68,Orange County,360,Gordon-Barbour Elementary,Y,25,,25
2024-2025,68,Orange County,70,Lightfoot Elementary,N,208,,208
2024-2025,68,Orange County,70,Lightfoot Elementary,Y,16,,16
2024-2025,68,Orange County,50,Locust Grove Elementary,N,489,,489
2024-2025,68,Orange County,50,Locust Grove Elementary,Y,30,,30
2024-2025,68,Orange County,471,Locust Grove Middle,N,642,,642
2024-2025,68,Orange County,471,Locust Grove Middle,Y,44,,44
2024-2025,68,Orange County,51,Locust Grove Primary,N,469,,469
2024-2025,68,Orange County,51,Locust Grove Primary,Y,31,,31
2024-2025,68,Orange County,330,Orange County High ,N,"1,398",<,"1,399"
2024-2025,68,Orange County,330,Orange County High ,Y,83,,83
2024-2025,68,Orange County,370,Orange Elementary,N,559,,559
2024-2025,68,Orange County,370,Orange Elementary,Y,62,,62
2024-2025,68,Orange County,340,Prospect Heights Middle,N,426,,426
2024-2025,68,Orange County,340,Prospect Heights Middle,Y,40,,40
2024-2025,68,Orange County,350,Unionville Elementary,N,237,,237
2024-2025,68,Orange County,350,Unionville Elementary,Y,19,,19
2024-2025,126,Staunton City,40,Arthur R. Ware Elementary,N,351,,351
2024-2025,126,Staunton City,40,Arthur R. Ware Elementary,Y,21,,21
2024-2025,126,Staunton City,70,Bessie Weller Elementary,N,340,,340
2024-2025,126,Staunton City,70,Bessie Weller Elementary,Y,33,,33
2024-2025,126,Staunton City,110,Shelburne Middle,N,545,,545
2024-2025,126,Staunton City,110,Shelburne Middle,Y,38,,38
2024-2025,126,Staunton City,41,Staunton City School PreSchool Programs,N,149,,149
2024-2025,126,Staunton City,30,Staunton High,N,737,,737
2024-2025,126,Staunton City,30,Staunton High,Y,31,,31
2024-2025,126,Staunton City,90,Thomas C. McSwain Elementary,N,436,,436
2024-2025,126,Staunton City,90,Thomas C. McSwain Elementary,Y,13,,13
2024-2025,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,232,,232
2024-2025,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,24,,24
2024-2025,130,Waynesboro City,640,Kate Collins Middle ,N,503,,503
2024-2025,130,Waynesboro City,640,Kate Collins Middle ,Y,99,,99
2024-2025,130,Waynesboro City,620,Wayne Hills Center,N,183,,183
2024-2025,130,Waynesboro City,620,Wayne Hills Center,Y,<,,<
2024-2025,130,Waynesboro City,600,Waynesboro High ,N,832,,832
2024-2025,130,Waynesboro City,600,Waynesboro High ,Y,95,,95
2024-2025,130,Waynesboro City,580,Wenonah Elementary ,N,179,,179
2024-2025,130,Waynesboro City,580,Wenonah Elementary ,Y,67,,67
2024-2025,130,Waynesboro City,630,Westwood Hills Elementary ,N,348,,348
2024-2025,130,Waynesboro City,630,Westwood Hills Elementary ,Y,34,,34
2024-2025,130,Waynesboro City,751,William Perry Elementary ,N,387,,387
2024-2025,130,Waynesboro City,751,William Perry Elementary ,Y,60,,60
