Year,District,School,Latitude,Longitude,Indigenous_Count,Asian_Count,Black_Count,Hispanic_Count,Multiracial_Count,White_Count,Total_Count,Disadvantaged_Count,EL_Count,Asian,Black,Hispanic,Multiracial,White,Disadvantaged,EL,D_Asian,D_Black,D_Hispanic,D_Multiracial,D_White,,,D_Total_Count,D_Disadvantaged,D_EL
2022-2023,Greene County,William Monroe Middle,38.29578,-78.44241,1,12,43,100,59,460,675,295,27,1.7778,6.3704,14.8148,8.7407,68.1481,43.7037,4.0000,1.6,6.4,13.5,9.4,68.9,,,2838,46.01832276,5.073995772
2022-2023,Fluvanna County,Carysbrook Elementary,37.81397,-78.24405,1,3,51,51,51,315,472,200,21,0.6356,10.8051,10.8051,10.8051,66.7373,42.3729,4.4492,0.6,13.8,9.4,9.2,66.7,41.0122164,2.73414776,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Central Elementary,37.82362,-78.27825,0,5,99,67,85,459,715,362,24,0.6993,13.8462,9.3706,11.8881,64.1958,50.6294,3.3566,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Fluvanna County High,37.87242,-78.29857,4,7,220,129,110,1019,1489,534,24,0.4701,14.7750,8.6635,7.3875,68.4352,35.8630,1.6118,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Fluvanna County,Fluvanna Middle,37.8254,-78.27351,0,5,106,77,72,502,762,314,25,0.6562,13.9108,10.1050,9.4488,65.8793,41.2073,3.2808,0.6,13.8,9.4,9.2,66.7,,,3438,41.0122164,2.73414776
2022-2023,Staunton City,Arthur R. Ware Elementary,38.16146,-79.09824,1,3,31,36,68,239,378,89,16,0.7937,8.2011,9.5238,17.9894,63.2275,23.5450,4.2328,1.3,13.3,18.6,13.5,62.7,29.42486085,3.487940631,2695,29.42486085,3.487940631
2022-2023,Staunton City,Bessie Weller Elementary,38.13895,-79.07203,0,11,77,42,62,177,369,98,37,2.9810,20.8672,11.3821,16.8022,47.9675,26.5583,10.0271,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Shelburne Middle,38.15998,-79.0978,7,9,76,43,72,369,576,212,20,1.5625,13.1944,7.4653,12.5000,64.0625,36.8056,3.4722,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Staunton City School PreSchool Programs,38.17598,-79.08584,0,3,12,13,19,87,134,0,0,2.2388,8.9552,9.7015,14.1791,64.9254,0.0000,0.0000,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Staunton High,38.16507,-79.0527,3,10,132,70,104,504,823,319,21,1.2151,16.0389,8.5055,12.6367,61.2394,38.7606,2.5516,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Staunton City,Thomas C. McSwain Elementary,38.16391,-79.05648,1,0,30,29,40,315,415,75,0,0.0000,7.2289,6.9880,9.6386,75.9036,18.0723,0.0000,1.3,13.3,18.6,13.5,62.7,,,2695,29.42486085,3.487940631
2022-2023,Waynesboro City,Berkeley Glenn Elementary,38.05638,-78.89887,0,3,30,38,38,145,254,164,17,1.1811,11.8110,14.9606,14.9606,57.0866,64.5669,6.6929,1.4,16.6,20.5,11.6,49.6,66.96939119,8.375378406,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Kate Collins Middle,38.08117,-78.894,1,10,115,136,72,310,644,407,55,1.5528,17.8571,21.1180,11.1801,48.1366,63.1988,8.5404,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Wayne Hills Center,38.08046,-78.88876,0,2,31,53,34,65,185,104,0,1.0811,16.7568,28.6486,18.3784,35.1351,56.2162,0.0000,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Waynesboro High,38.07083,-78.89785,3,13,149,182,95,465,907,562,63,1.4333,16.4278,20.0662,10.4741,51.2679,61.9625,6.9460,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Wenonah Elementary,38.06835,-78.87902,1,0,50,68,15,89,223,192,42,0.0000,22.4215,30.4933,6.7265,39.9103,86.0987,18.8341,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,Westwood Hills Elementary,38.06981,-78.90973,1,3,55,2,41,212,314,234,32,0.9554,17.5159,0.6369,13.0573,67.5159,74.5223,10.1911,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Waynesboro City,William Perry Elementary,38.08392,-78.87982,1,13,76,74,59,223,446,328,40,2.9148,17.0404,16.5919,13.2287,50.0000,73.5426,8.9686,1.4,16.6,20.5,11.6,49.6,,,2973,66.96939119,8.375378406
2022-2023,Louisa County,Jouett Elementary,37.89791,-77.84452,2,5,46,21,41,506,621,277,18,0.8052,7.4074,3.3816,6.6023,81.4815,44.6055,2.8986,0.7,14.6,7.2,8.4,68.8,41.32199459,2.957093158,5174,41.32199459,2.957093158
2022-2023,Louisa County,Louisa County High,38.01786,-77.9202,4,14,263,135,116,1121,1653,654,26,0.8469,15.9105,8.1670,7.0175,67.8161,39.5644,1.5729,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Louisa County Middle,38.02056,-77.92498,1,6,159,91,93,801,1151,463,30,0.5213,13.8141,7.9062,8.0799,69.5917,40.2259,2.6064,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Moss-Nuckols Elementary,37.95601,-78.0883,2,9,135,38,44,351,579,213,31,1.5544,23.3161,6.5630,7.5993,60.6218,36.7876,5.3541,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Thomas Jefferson Elementary,37.99458,-77.96205,2,3,78,57,81,413,634,302,35,0.4732,12.3028,8.9905,12.7760,65.1420,47.6341,5.5205,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Louisa County,Trevilians Elementary,38.07597,-78.09936,2,0,76,31,59,368,536,229,13,0.0000,14.1791,5.7836,11.0075,68.6567,42.7239,2.4254,0.7,14.6,7.2,8.4,68.8,,,5174,41.32199459,2.957093158
2022-2023,Nelson County,Nelson County High,37.73272,-78.89555,3,1,70,49,30,364,517,316,0,0.1934,13.5397,9.4778,5.8027,70.4062,61.1219,0.0000,0.5,13.6,11.8,4.6,69.3,62.63513514,2.702702703,1480,62.63513514,2.702702703
2022-2023,Nelson County,Nelson Middle,37.73351,-78.89478,2,2,50,39,18,229,340,224,12,0.5882,14.7059,11.4706,5.2941,67.3529,65.8824,3.5294,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
2022-2023,Nelson County,Rockfish River Elementary,37.94529,-78.83746,0,2,24,50,8,184,268,163,16,0.7463,8.9552,18.6567,2.9851,68.6567,60.8209,5.9701,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
2022-2023,Nelson County,Tye River Elementary,37.71033,-78.91214,0,2,57,36,12,248,355,224,12,0.5634,16.0563,10.1408,3.3803,69.8592,63.0986,3.3803,0.5,13.6,11.8,4.6,69.3,,,1480,62.63513514,2.702702703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
